table,kind,file,line,unit,snippet
G0_Gbun,from,Base01.pas,8670,Base01,"Str := 'Select gen_id(' + GENERATOR +',0),Count(*) From G0_Gbun';"
G0_Gbun,from,Base01.pas,8686,Base01,"Str := 'Select gen_id(' + GENERATOR +',0),Count(*) From G0_Gbun';"
G1_Gbun,from,Base01.pas,7327,Base01,St1 := 'Select Gname From G1_Gbun Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Gbun,from,Seak02.pas,544,Seak02,"Sqlen := 'Select ID, Gcode, Gname From G1_Gbun Where '+D_Select+St1+St2;"
G1_Gbun,from,Subu11.pas,442,Subu11,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu11.pas,520,Subu11,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu11.pas,584,Subu11,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,into,Subu11.pas,700,Subu11,"Sqlen := 'INSERT INTO G1_Gbun ( Gcode, Gname, Hcode ) VALUES '+"
G1_Gbun,update,Subu11.pas,719,Subu11,"Sqlen := 'UPDATE G1_Gbun SET Gcode=''@Gcode'',Gname=''@Gname'' '+"
G1_Gbun,from,Subu11.pas,756,Subu11,Sqlen := 'DELETE FROM G1_Gbun WHERE Gcode=''@Gcode'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu11.pas,1028,Subu11,Sqlen := 'Select * From G1_Gbun Where '+D_Select+St1+' Order By Gcode';
G1_Gbun,from,Subu11.pas,1090,Subu11,Sqlen := 'Select * From G1_Gbun Where '+D_Select+St1+' Order By Gcode';
G1_Gbun,from,Subu15.pas,439,Subu15,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu15.pas,519,Subu15,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu15.pas,583,Subu15,St1 := 'Select Gcode From G1_Gbun Where '+D_Select+'Gname=''@Gname'' and Hcode=''@Hcode'' ';
G1_Gbun,into,Subu15.pas,699,Subu15,"Sqlen := 'INSERT INTO G1_Gbun ( Gcode, Gname, Hcode ) VALUES '+"
G1_Gbun,update,Subu15.pas,718,Subu15,"Sqlen := 'UPDATE G1_Gbun SET Gcode=''@Gcode'',Gname=''@Gname'' '+"
G1_Gbun,from,Subu15.pas,755,Subu15,Sqlen := 'DELETE FROM G1_Gbun WHERE Gcode=''@Gcode'' and Hcode=''@Hcode'' ';
G1_Gbun,from,Subu15.pas,1029,Subu15,Sqlen := 'Select * From G1_Gbun Where '+D_Select+St1+' Order By Gcode';
G1_Gbun,from,Subu15.pas,1093,Subu15,Sqlen := 'Select * From G1_Gbun Where '+D_Select+St1+' Order By Gcode';
G1_Ggeo,from,Base01.pas,7281,Base01,St3 := 'From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8833,Base01,Str := 'Select Gname From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8854,Base01,Str := 'Select Gname From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8885,Base01,Str := 'Select Jubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8903,Base01,Str := 'Select Jubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8958,Base01,Sqlen := 'Select Gcode From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,8964,Base01,Sqlen := 'Select Gcode From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,9042,Base01,Sqlen := 'Select Gname From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,9048,Base01,Sqlen := 'Select Gname From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Base01.pas,9120,Base01,"Sqlen := 'Select Hcode,Gcode,Gname,Ocode,Gubun,Pubun From G1_Ggeo '+"
G1_Ggeo,from,Data/Subu38.pas,520,Subu38,Sqlen := 'Select Gname From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode''';
G1_Ggeo,from,Data/Subu64.pas,527,Subu64,Sqlen := 'Select Pubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Data/Subu64.pas,543,Subu64,Sqlen := 'Select Pubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Data/Subu64.pas,573,Subu64,Sqlen := 'Select Pubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Data/Subu64.pas,581,Subu64,Sqlen := 'Select Pubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Data/Subu64.pas,602,Subu64,Sqlen := 'Select Gubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
G1_Ggeo,from,Data/Subu64.pas,610,Subu64,Sqlen := 'Select Gubun From G1_Ggeo Where '+D_Select+'Gcode=''@Gcode'' and Hcode=''@Hcode''';
