table,sql_hits,distinct_units,kind_from,kind_join,kind_into,kind_update,kind_dfm_TableName,in_live_schema
S1_Ssub,264,57,218,0,10,36,0,yes
G4_Book,186,48,183,0,1,2,0,yes
G1_Ggeo,185,32,179,0,2,4,0,yes
G7_Ggeo,128,54,115,0,2,11,0,yes
Sv_Ghng,65,18,53,0,6,6,0,yes
G5_Ggeo,64,14,64,0,0,0,0,yes
H2_Gbun,58,24,52,0,3,3,0,yes
G2_Ggwo,40,9,37,0,1,2,0,yes
Gg_Magn,39,6,28,0,1,10,0,yes
Sg_Csum,39,17,31,0,3,5,0,yes
S1_Memo,38,12,21,0,8,9,0,yes
T4_Ssub,36,10,26,0,5,5,0,yes
T2_Ssub,33,8,25,0,2,6,0,yes
H1_Ssub,26,4,26,0,0,0,0,yes
T3_Ssub,23,4,13,0,5,5,0,yes
G4_Gbun,22,8,20,0,1,1,0,yes
Sb_Csum,22,11,16,0,2,4,0,yes
T1_Gbun,20,12,18,0,1,1,0,yes
G6_Ggeo,19,7,14,0,2,3,0,yes
Id_Logn,19,5,16,0,0,3,0,yes
Me_Sage,19,3,15,0,2,2,0,yes
G1_Gbun,18,4,14,0,2,2,0,yes
Sv_Chng,18,2,10,0,4,4,0,yes
G7_Gbun,17,3,13,0,2,2,0,yes
S1_Chek,16,4,10,0,3,3,0,yes
S4_Ssub,14,4,11,0,1,2,0,no
T1_Ssub,13,5,11,0,1,1,0,yes
T6_Ssub,11,4,9,0,1,1,0,yes
G2_Gbun,9,2,7,0,1,1,0,yes
T5_Ssub,8,6,6,0,1,1,0,yes
Sg_Gsum,7,2,5,0,1,1,0,yes
Gg_Megn,6,1,4,0,1,1,0,yes
S3_Ssub,6,1,6,0,0,0,0,yes
G3_Gjeo,5,3,5,0,0,0,0,yes
H1_Gbun,4,2,3,0,0,1,0,yes
Sv_Gsum,4,2,2,0,1,1,0,yes
T0_Gbun,4,1,2,0,1,1,0,no
G0_Gbun,2,1,2,0,0,0,0,yes
H5_Bang,2,1,1,0,0,1,0,yes
T8_Gbun,2,1,2,0,0,0,0,no
G3_Gbun,1,1,1,0,0,0,0,yes
G5_Gbun,1,1,1,0,0,0,0,yes
G8_Ggeo,1,1,1,0,0,0,0,yes
Gg_Post,1,1,1,0,0,0,0,yes
